date,strategy_return,benchmark_return,strategy_equity,benchmark_equity
2015-01-01,0.0,0.0,1.0,1.0
2015-01-02,0.0,-0.004079419396997366,1.0,0.9959205806030026
2015-01-05,0.0,0.01056950586632538,1.0,1.00644696902208
2015-01-06,0.0,6.918334696037753e-05,1.0,1.006516598391935
2015-01-07,0.0,-0.00531311009973888,1.0,1.0011688648874641
2015-01-08,0.0,-0.009066316857885212,1.0,0.9920919507301452
2015-01-09,0.0,-0.0024903538777000384,1.0,0.9896212906936094
2015-01-12,0.0,-0.006312374430877274,1.0,0.9833744305619833
2015-01-13,0.0,0.006598649907242515,1.0,0.9898633741569958
2015-01-14,0.0,0.006543466752315957,1.0,0.9963405122351273
2015-01-15,0.0,0.010320162807950783,1.0,1.006622908533551
2015-01-16,0.0,0.010793653867756464,1.0,1.0174880477836163
2015-01-19,0.0,0.001307267496817116,1.0,1.0188181768368838
2015-01-20,0.0,0.009927512877918071,1.0,1.0289325074076892
2015-01-21,0.0,5.318912219753891e-05,1.0,1.0289872354245586
2015-01-22,0.0,-0.004657176150085526,1.0,1.0241950606129968
2015-01-23,0.0,0.0037748523739952328,1.0,1.0280612457689862
2015-01-26,0.0,-0.008279744613932827,1.0,1.0195491612065373
2015-01-27,0.0,0.008511993831641987,1.0,1.028227557377783
2015-01-28,0.0,-0.008753858583505636,1.0,1.0192265987488345
2015-01-29,0.0,0.002822546490179434,1.0,1.0221034132078306
2015-01-30,0.0,0.005517156785376703,1.0,1.0277425179893669
2015-02-02,0.0,0.012467526368454176,1.0,1.0405559249323808
2015-02-03,0.0,-0.0002734882248781739,1.0,1.0402713451395846
2015-02-04,0.0,-0.0009395035217577424,1.0,1.0392940065472422
2015-02-05,0.0,-0.0006735220463140734,1.0,1.0385940191212306
2015-02-06,0.0,0.0022120173673727123,1.0,1.0408914071291762
2015-02-09,0.0,0.006616756477087732,1.0,1.047778732089243
2015-02-10,0.0,0.008507029762555032,1.0,1.0566922169476987
2015-02-11,0.0,-3.4212838087577246e-06,1.0,1.056688601703726
2015-02-12,0.0,0.015505774329692912,1.0,1.0730733766985028
2015-02-13,0.0,-0.0011484089316449175,1.0,1.0718410496483919
2015-02-16,0.0,-0.010457545753243258,1.0,1.0606322228314895
2015-02-17,0.0,-0.003892876124045583,1.0,1.0565033129748354
2015-02-18,0.0,0.006706177888315429,1.0,1.0635884121312393
2015-02-19,0.0,0.0064254761364640756,1.0,1.0704224740924084
2015-02-20,0.0,-0.002587520279149144,1.0,1.0676527342334374
2015-02-23,0.0,0.0016924400989630634,1.0,1.0694596725326218
2015-02-24,0.0,-0.0009691914591212353,1.0,1.0684231613521284
2015-02-25,0.0,0.006962923159310949,1.0,1.0758625097262513
2015-02-26,0.0,0.003769163766224548,1.0,1.0799176117153508
2015-02-27,0.0,-0.0022209748578034816,1.0,1.0775191418512318
2015-03-02,0.0,-0.0035957809115417932,1.0,1.0736446190891422
2015-03-03,0.0,-0.0016690317767467377,1.0,1.0718526721029493
2015-03-04,0.0,0.006640321928085238,1.0,1.0789701189051912
2015-03-05,0.0,-0.0004112172497253014,1.0,1.0785264277803592
2015-03-06,0.0,0.007463573038110946,1.0,1.0865760885476308
2015-03-09,0.0,0.0028020211338324746,1.0,1.0896206977112581
2015-03-10,0.0,0.0006109534153384832,1.0,1.0902864051979484
2015-03-11,0.0,0.0072564678973551094,1.0,1.0981980334961898
2015-03-12,0.0,0.0058073438936236815,1.0,1.1045756471400034
2015-03-13,0.0,0.0020730291772904086,1.0,1.106865464685049
2015-03-16,0.0,-0.009416940140375737,1.0,1.0964421788606609
2015-03-17,0.0,0.0012873911754849449,1.0,1.0978537288461556
2015-03-18,0.0,-0.0062815698529237185,1.0,1.0909574839601157
2015-03-19,0.0,-0.003236284080380167,1.0,1.087426835622404
2015-03-20,0.0,0.0027067832738516956,1.0,1.090370264392604
2015-03-23,0.0,0.00703160363717259,1.0,1.098037315909572
2015-03-24,0.0,-0.0046517974435526105,1.0,1.0929294687304985
2015-03-25,0.0,0.010251518262067258,1.0,1.1041336551383407
2015-03-26,0.0,-0.004467071759089752,1.0,1.0992014108692116
2015-03-27,0.0,-0.003325235407475577,1.0,1.0955463074178422
2015-03-30,0.0,0.002049111760619518,1.0,1.0977912042406754
2015-03-31,0.0,0.012917720879030412,1.0,1.111972164600511
